ProfileCnt,LayoutName,UsedByProfiles
3,APXT_CongaSign__Transaction__c-Transaction Layout- Support,|SE System Administrator|UK Contracts User 2018|UK Credit Control User
194,Account-Account Layout,|Benelux- GDPR User|Benelux- GDPR User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter External User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Free User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Chatter Moderator User|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|Cision Academy Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionChat Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|CisionSurveys Profile|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|Content Only User|ContractManager|ContractManager|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|DELETED1583708272662 Profile|Development Services|Development Services|FI Contract Manager|FI Contract Manager|FI Marketing User|FI Marketing User|FI Standard User -Lightning|FI Standard User -Lightning|FI Standard User|FI Standard User|France- GDPR User|France- GDPR User|GE Contract Manager|GE Contract Manager|GE Local Admin|GE Local Admin|GE Management User|GE Management User|GE Marketing User|GE No Extract|GE No Extract|GE Opp User|GE Opp User|GE Solution Manager|GE Solution Manager|GE Standard User|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Guest License User|Identity User|Identity User|Inactive Profile|Inactive Profile|MarketingProfile|MarketingProfile|Premier Support User|Premier Support User|PRN Standard User|PRN Standard User|ReadOnly|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|REMOVED GO Integration|SE Contract Manager|SE Contract Manager|SE Marketing User|SE Marketing User|SE Sales Manager User|SE Sales Manager User|SE Solution Manager|SE Solution Manager|SE Standard User -Lightning|SE Standard User -Lightning|SE Standard User|SE Standard User|SE Support User|SE Support User|SE Test User Temp|SE Test User Temp|Senior Insights Manager|SolutionManager|SolutionManager|Standard Platform User|Standard Platform User|Standard|Standard|StandardAul|StandardAul|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|Survey Profile|UK Contracts User 2018|UK Credit Control User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|VP of Sales or Customer Operations|_GGGSUA2|_GGGSUA2|_GGGSUB2|_GGGSUB2|_GGGSUCS|_GGGSUCS|_VoSaCO|_VoSaCO
0,Account-Account Layout 2019- Manager,
3,Account-Account Layout 2019- Manager v%2E2,|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager
1,Account-Account Layout 2020- Senior Manager,|VP of Sales or Customer Operations
1,Account-Account Layout 2020- Senior Manager v%2E2,|UK VP of Sales
0,Account-Account Layout- CS Manager,
69,Account-Accounts Germany,|Benelux- GDPR User|ContractManager|Development Services|FI Contract Manager|FI Marketing User|FI Standard User -Lightning|FI Standard User|FI System Administrator|France- GDPR User|GE Contract Manager|GE Local Admin|GE Marketing User|GE No Extract|GE Opp User|GE Standard User|GO CPRE|GO Customer Service Manager|GO Gorkana Group Chatter|GO Gorkana Group Marketing User|GO Gorkana Group Standard User - Agency-2018|GO Gorkana Group Standard User - Agency|GO Gorkana Group Standard User - Bundles for PRN|GO Gorkana Group Standard User - Bundles- 2018|GO Gorkana Group Standard User - Bundles|GO Gorkana Group Standard User - Trainer|GO Gorkana Group Standard User - US|GO Gorkana Group Standard User-CS|GO Gorkana Group Standard User|GO Gorkana Group Super User - US|GO Gorkana Group Super User|GO Gorkana Management|Identity User|Inactive Profile|MarketingProfile|Premier Support User|PRN Standard User|ReadOnly|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Integration|SE Contract Manager|SE Marketing User|SE Sales Manager User|SE Solution Manager|SE Standard User -Lightning|SE Standard User|SE Support User|SE System Administrator|SE Test User Temp|Senior Insights Manager|SolutionManager|Standard Platform User|Standard|StandardAul|Sys Admin - Data Restrictions|System Administrator Upload|UK Contracts User 2018|UK Credit Control User|UK Marketing User|UK New Business%3A PRN %26 Mid-market 2018|UK Sales Manager- Test Profile|UK Sales Manager- TK|UK Sales Manager|UK Solution Manager|UK Standard User|UK VP of Sales|_GGGSUA2|_GGGSUB2|_GGGSUCS|_VoSaCO
0,Account-Accounts Germany 2019,
7,Account-Accounts Germany 2019 Manager Layout  v2,|GE Management User|GE Solution Manager|GO Gorkana Management|GO Gorkana Management|REMOVED GO Gorkana Group Standard User- Manager|REMOVED GO Gorkana Group Standard User- Manager|VP of Sales or Customer Operations
